Task,Test,VerbalDescription,Rule_correct,Rule_correct_label
AboveBelow3.json,3,i chose the edit button the filled in the colors correctly as shown on the image on the left,-1.0,Nonresponsive
AboveBelow4.json,1,put exact grid with same color and front  and back with the straight line color,-2.0,Unclear
AboveBelow4.json,1,"Replace one block on the left of each of the top shapes so they match the colored line. On the bottom do the same for the right side of the shapes.  You are *replacing* a color, not adding a new one.",1.0,Correct - Intended
AboveBelow4.json,1,"Use the same grid size as the input. Copy all objects from the input into your answer, maintaining colors and positions. Note the line of color extending across the grid. Above the line, color the left-most block of each shape the same color as the line. Below the line, color the right-most block of each shape the same color as the line.",1.0,Correct - Intended
AboveBelow4.json,1,"The rule for this task, is to  keep the size and shape of the grid and the shape. The line that divides the grid color will be used to change the first square above the line, and will be used to change the last square below the line.",1.0,Correct - Intended
AboveBelow4.json,1,"Start by recreating the input grid size (height and width.) Then recreate the image as seen in the input. Now for each shape above the coloured line through the middle, change the furthest left block to match the colour of the dividing line. For each shape below the coloured dividing line match the furthest right square with the colour of the dividing line (instead of the original colour.) ",1.0,Correct - Intended
AboveBelow4.json,1,"Copy the grid exactly and then use the colour of the horizontal bar to fill in the left hane sqaure of each shape above the line, and the right hand square of each shape below the line",1.0,Correct - Intended
AboveBelow4.json,2,Use the same grid size as the test grid size. Remake the objects in the test grid but change the color of the left most square in the objects above the line that stretches across the grid to the same color as that line. Change the color of the right most squares in the objects below the line that stretches across the whole grid to the same color as that line.,1.0,Correct - Intended
AboveBelow4.json,2,Recreate the input grid as seen in the example. The rule is to change the furthest left box of each shape above the dividing line to match the colour of the line and the furthest right box of each shape below the line to match the colour of the dividing line. ,1.0,Correct - Intended
AboveBelow4.json,2,"Change grid size. Height: 6  Width: 10
Insert the colour line in the centre width 10 cells across
& set colour to green
whatever cells of colour above and below add one coloured cell to them far left above the long coloured line & Far right under the long coloured line the same colour as the centre line. ",1.0,Correct - Intended
AboveBelow4.json,2,"Copy the puzzle.
You should see a solid line intersect the entire grid in one color, filling one row. 
Any shapes above this line must have the left most block filled in with the same color as the long dividing line. 
Any blocks below this line must have the right most block filled with the same color as the long dividing line.
",1.0,Correct - Intended
AboveBelow4.json,2,"Use the same grid size as in the input. There will be three objects in the input. In your answer, modify the first left square of any object above the 'line' (central object), to the same colour as the central object. Any object below the 'line' (Central object), modify the first square to the right, to be the same colour as the central line. Keep every other colour square the same as the original.  ",1.0,Correct - Intended
AboveBelow4.json,2,Above the horizontal coloured band stretching right across the black area colour the left most block of any floating blocks the same colour as the band.  Below the band do the same with the right most block of any floating blocks.,1.0,Correct - Intended
AboveBelow4.json,2,"copy from input, change the top left squares of each shape to the colour of the central line, change the bottom far right square of the shape the colour of the central line, submit.",1.0,Correct - Intended
AboveBelow4.json,3,"In the solution, keep the grid size and colors the same, except for two key changes: for the lines above the line that goes all the way across, the leftmost square of the shorter lines becomes the same color as the long line; the lines underneath the long line need the right-most square changed to match the color of the long line.",1.0,Correct - Intended
AboveBelow4.json,3,"Resize the grid to 5 x 11. Make the middle horizontal line gray. Copy the two pink lines, but make the first square of the  top line gray and the last square of the bottom line gray.",1.0,Correct - Intended
AboveBelow4.json,3,"Match the size of the Test input grid. Any objects above the large horizontal object should have their leftmost box colored the same as the horizontal object, and any objects below the horizontal object should have their rightmost box colored in the same manner.",1.0,Correct - Intended
AboveBelow4.json,3,"Copy from input, then simply change the top left corner to pink, and do the same for the bottom right corner.",0.0,Incorrect
AboveBelow4.json,3,Resize grid to match target grid. Pay attention to single colored median line. Objects above single colored median line will retain the color of the line on the left most endpoint. Objects below the line will retain the color of the line on the right most endpoint.,1.0,Correct - Intended
AboveBelow4.json,3,Replicate the grid and the shapes. Identify the line of squares of the same colour which extends right from one side of the grid to the other. Any shape above the line should have its furthest left square changed to match the colour of the line. Any shape below the line should have its further right square changed to match the colour of the line.,1.0,Correct - Intended
AboveBelow5.json,1,"Keep the grid the same height and width as the test grid. Extend the one colored square upwards from it's position on the grey vertical lines. Keep the lines the same height, just extend the length of the pink area to the top of the figure.",1.0,Correct - Intended
AboveBelow5.json,1,Copy the input grid and objects just as they are. note the different colored squares. Starting from those squares fill in the other squares above that one in each object to match that color .,1.0,Correct - Intended
AboveBelow5.json,1,Use the same grid size.  Find the different colored square in each object.  Change the color of each object square resting above it to match.,1.0,Correct - Intended
AboveBelow5.json,1,"There will be coloured pillars with a cell somewhere in them of a different colour. Recreate the pillars in the same grid size, except now everything above the differently coloured cell in that pillar is now also the different colour (including the original differently coloured cell). Keep the pillars the same height and keep any pillar without a differently coloured dot exactly the same. ",1.0,Correct - Intended
AboveBelow5.json,1,Resize grid to same size and copy shapes and colours. Now extend the different colour to the top of each column.,1.0,Correct - Intended
AboveBelow5.json,1,"Use the same size grid as the input.. In your answers, at every intersection where blocks overlap, the vertical color block must overlap the horizontal color block. Keep all colors the same except the overlapping block which must have the same color as the vertical blocks",-2.0,Unclear
AboveBelow5.json,1,"Copy from input, for each tower, turn any tower that has a differently coloured item in it the same colour as that one above where it appears in the tower.",1.0,Correct - Intended
AboveBelow5.json,1,"Keep grid size the same as input. In each object where there is one square coloured differently to the rest, colour in every square of the object in the same colour. Keep the other squares the same and all of the objects in the same position.",0.0,Incorrect
AboveBelow5.json,1,"Make the grid the same height and width as the original. Copy the bars in the same spot and in the same location. Use the same colors, but if there is a block with a different color in the middle of the bar, then extend that color all the way to the top of that bar. So if there is a blue bar six blocks tall with a green block in the third spot from the bottom, you would change blocks 4, 5, and 6 to green as well.",1.0,Correct - Intended
AboveBelow5.json,2,Keep the grid dimensions the same as input. Copy from input. find every every row that has a single square of a different color. starting from that single square color the row upwards the same color as the single square. Start at the square and go up for each individual row.,1.0,Correct - Intended
AboveBelow5.json,2,Make the grid the same size and then copy the shape over. Then where the off color blocks are extend them up to the top of the shape completely making a column of their color.,1.0,Correct - Intended
AboveBelow5.json,2,"Resize the grid to match the input box dimensions. There are multiple vertical lines in the input box. (They might look like a rectangle if there is no gap between them.) Reproduce the vertical lines in the same location, size, and color as in the input box. Some of the vertical lines may have an individual square of another color. Starting with the location of that individual square and moving up along the line, select the squares in the line and change them to the same color as the individual square.",1.0,Correct - Intended
AboveBelow5.json,2,"resize the grid to be the same dimensions as the original grid
the pattern in the original grid is a series of vertical lines.  the vertical lines are the same color, except for at most on square somewhere on the line. 
on the new grid, the vertical lines should be copied, except all the spaces above the differently colored space should now be the same color as the differently colored space.  ",1.0,Correct - Intended
AboveBelow5.json,2,fill the color up until it fill the vertical shape,-2.0,Unclear
AboveBelow5.json,3,"If there is a different color on top of another, fill in all grid squares of the different color on that grid square and the ones above it in the shape",1.0,Correct - Intended
AboveBelow5.json,3,"Starting from the bottom of the shape, once the color changes, all squares above become that color.",1.0,Correct - Intended
AboveBelow5.json,3,"Copy the grid from the input. If there is a column or block with an odd-colored box in it, fill in the column or block with that color, but upward from the odd-colored box. ",1.0,Correct - Intended
AboveBelow6.json,1,"Use the same grid size as in the input. There will be an object with red squares. After finding the red squares in the object, simply add more red squares heading down to the bottom of the object.",1.0,Correct - Intended
AboveBelow6.json,1,"Use the same grid size as in the input. There will be two objects in the input. Within each object will be the color red. Modify every other square below the red square, to the color red.  ",1.0,Correct - Intended
AboveBelow6.json,1,"Grid sizes will stay the same as the original task, wherein any squares within the larger coloured object are red, all coloured blocks underneath a red square up will transform to red, this also applies to blocks that are underneath the red blocks but not necessarily directly underneath, e.g one square underneath",1.0,Correct - Intended
AboveBelow6.json,1,Use the same grid size as in the input. In every shape of the input there will be a mix of two colors with one above the other. Take the bottom color and fill in the rest of the shape below that color with the same bottom color.,1.0,Correct - Intended
AboveBelow6.json,1,Fill every coloured square below the red squares with more red squares.,1.0,Correct - Intended
AboveBelow6.json,1,"Make the grid the same height and width as the original. Duplicate the objects in the same positions on the grid and use the same colors. Then change the color of any part of the shape that is under an orange cell to orange, all the way to the bottom of the shape. You should have a block or blocks of orange at the bottom of the shape.",1.0,Correct - Intended
AboveBelow6.json,2,Extend the red to the bottom of the colored shape.,1.0,Correct - Intended
AboveBelow6.json,2,"Keep the grid size the same. Copy the objects(s) to the new grid. In the object(s), there will be a color that is different from the main color of the object. Change the color of the blocks below the interrupting color all the way to the base of the object. Keep the color the same as the interrupting color.",1.0,Correct - Intended
AboveBelow6.json,2,"Copy the shape and grid exactly as they were originally. There will be colored lines present. Using the color of those lines, fill it in the squares directly below them until they reach the edge of the shape. Leave any black grid squares around the edge if they were in the original, and do not expand the lines horizontally. Only fill in below them.",1.0,Correct - Intended
AboveBelow6.json,2,"Copy the input, from where the red line is in the shape, fill the red in downwards until you get the the edge of the shape ",1.0,Correct - Intended
AboveBelow6.json,2,"Use the same grid size as the input. Identify all shapes in the grid containing a secondary colour. Within those shapes, extend each square containing a secondary colour downwards until the reaches the bottom of the shape but no further.",1.0,Correct - Intended
AboveBelow6.json,3,"Use the same grid size as in the input.  There will be two objects in the input.  Fill the entire object vertically if red color is at the top of object.  If it is not, then leave the color the same.",0.0,Incorrect
AboveBelow6.json,3,fill dowen all columns started with orange cell,1.0,Correct - Intended
AboveBelow6.json,3,"Ok so here the rule is that the opposing colour in the original image takes over the colour of any blocks beneath it. So in this case, the red blocks on top of the blue blocks took over the blue blocks. 

To solve this puzzle what I did was copy the original design and then replace the blue blocks beneath the red blocks with red blocks. Before doing this I also resized the grid to 9X7 to replicate the dimensions of the original. I then used the edit function and recoloured the originally blue blocks into red. This left 3 red downward strips and 1 blue downward strip. ",1.0,Correct - Intended
AboveBelow6.json,3,"The rule is to extend the red shapes downward to completely fill in all squares directly underneath them. To do this, copy the original grid from input, choose 'flood fill' and then the red color and select one of the blue squares from the 2 left columns. This should fill both columns with red. Then choose 'edit' and the red color and select the 5 blue squares directly underneath the red square on the right side. That should make that entire column red, leaving you with only 1 blue column on the right side.",1.0,Correct - Intended
AboveBelow6.json,3,"Copy out the grid from the input. For any colours that are not red or black and are underneath the red coloured squares, colour them in red. If the squares are above the red squares, then leave them as normal.",1.0,Correct - Intended
AboveBelow6.json,3,Make the 2 blocks equal by adding a ring of blocks on the blocks without boundaries.,0.0,Incorrect
AboveBelow6.json,3,"Identify the width and height of the input diagram, and adjust accordingly in our grid. Copy the design of the input image onto our grid.

Identify as well the red coloured region within the input diagram. From such regions, colour the rest of these regions, from the top (the ""starting point"" of the red regions) to the bottom, in red.",1.0,Correct - Intended
AboveBelow7.json,1,"Copy the input grid and then slide any shapes on top of rings to the bottom of the ring. Be sure to slide, and not flip or rotate.",1.0,Correct - Intended
AboveBelow7.json,1,,-1.0,Nonresponsive
AboveBelow7.json,1,,-1.0,Nonresponsive
AboveBelow7.json,1,"Keep the yellow shapes the same and recreate them exactly, but move the green shapes below them. Keep the same orientation and color.",1.0,Correct - Intended
AboveBelow7.json,1,Copy from input and the move the shapes of the yellow blocks to the bottom of the green rectangles.,1.0,Correct - Intended
AboveBelow7.json,1,Move the shape that is above the square/rectangle and place it below the square/rectangle,1.0,Correct - Intended
AboveBelow7.json,2,"Copy the grid size, There are two colors in this grid. Copy the sizes and shapes of the shapes of the bottom color. Move the shapes of the top color at the bottom of the bottom color and retaining the shapes orientations.",1.0,Correct - Intended
AboveBelow7.json,2,"Copy from input. For each of the two large objects, move the smaller objects attached to them directly to the bottom of the large objects.",1.0,Correct - Intended
AboveBelow7.json,2,Keep the same grid size and object colors.  You will have a frame shape in one color and then different colored ornament cells attached.  Move the different colored cells from the top of the frame to the bottom of the frame in the exact order as they appear.,1.0,Correct - Intended
AboveBelow7.json,2,Make the grid the same size as the original. Keep the lower shape(s) in the same location and make them the same size and colour. Keep the same shape and colour for the uppermost coloured shape(s) but move them directly downwards so that they touch the bottom rather than the top of the lower shape(s).,1.0,Correct - Intended
AboveBelow7.json,2,Observe the task demonstration. Use the same grid size as in the input. Invert the object in the input. Keep the colour the same.,0.0,Incorrect
AboveBelow7.json,3,"Same grid size as input. Reproduce same image as input. There are square(s) with a line or shape connected on top. Move the line/shape connected on top, to the bottom so it is connected to the bottom of the square(s) with no black space separating the square(s) with the line/shape. Use the same colors of line/shapes as input.",1.0,Correct - Intended
AboveBelow7.json,3,"Resize the grid to the same format at the grid presented. Recreate the square/rectangle objects on the grid in the same orientation, color, and size. Take the objects that are above the rectangle and shift them so that they are now directly below the rectangle/square objects on the grid. Do do without changing the color/size/ or angle it is at. Imagine you are just sliding the object on top of the square/rectangles below the square/rectangles.",1.0,Correct - Intended
AboveBelow7.json,3,Copy the grid. Take the top shape and place it directly underneath the bottom shape.,1.0,Correct - Intended
AboveBelow7.json,3,"This rule moves everything above the central shapes to below, but such that they still touch, so copy the input, anything above copy to below, and delete what's above.",1.0,Correct - Intended
AboveBelow8.json,1,"keep grid size the same as input
black out the topmost horizontal color and blue(river) tiles
black out everything else that isn't blue",1.0,Correct - Intended
AboveBelow8.json,1,"Use the same grid size as the test grid. Remake only the light blue pattern which snakes through the other colors, except for the segments of the pattern that pass through the green area.",1.0,Correct - Intended
AboveBelow8.json,1,"Recreate the entire grid. Eliminate all squares but those making up the single strand of light blue that runs from top to bottom, and then eliminate the parts of that strand that ran through the topmost green segment.",1.0,Correct - Intended
AboveBelow8.json,1,"leaving the grid size the same, color the top horizontally running color block/stripe fully black along with the part of the light blue snake shape that runs across the top color bar. for the remaining stripes (or stripe if there is only one) turn everything black except for the light blue snake shape. leave that the way it is. ",1.0,Correct - Intended
AboveBelow8.json,1,"Use the same size grid as the input. You should see strips of colours with a blue path running through them. You should only copy into the grid the blue line exactly as it is in the input (same colour, position, etc.) - do not copy any of the other colours. Any parts of the blue line running through the green strip, you should NOT copy and leave black.",1.0,Correct - Intended
AboveBelow8.json,1,"Resize your grid to the test input size. Identify the light blue spaces in the test area making a pattern through the other colors. Duplicate only this pattern with the same color in your grid, but without the spaces within the original green area. ",1.0,Correct - Intended
AboveBelow8.json,1,"The input will have some colored boxes with a light blue pattern zig-zagging through it. Copy the input to the output and make the section of the zig-zagging blue line that goes through the Green box black. Then, make all of the colored boxes black so that you are left with only the blue line that did NOT go through the green box.",1.0,Correct - Intended
AboveBelow8.json,1,"Copy the input to the output. There will be a blue zig-zagging line going through some colored rectangles. Make the section of this blue line that goes through a green rectangle black. Then, make all of the colored rectangles black, such that you are left only with the remnants of the blue line that did NOT go through the green rectangle.",1.0,Correct - Intended
AboveBelow8.json,2,"Copy the grid, make all green into black and any of the aqua blue snake that goes through the green should also be black. After that turn all colors except for the aqua blue into black as well.",1.0,Correct - Intended
AboveBelow8.json,2,"Identify the blue path. The part of the blue path going through the green layer needs to be removed. Then, all colours except the light blue path should also be removed.",1.0,Correct - Intended
AboveBelow8.json,2,Keep the grid size the same. Any green squares color black and remove the light blue colored block that are place within the green area. Keep all the light blue squares and change everything else to black.,1.0,Correct - Intended
AboveBelow8.json,2,"Copy the image, including grid size.

Removing everything from the image apart from the blue line. However, any part of the blue line that is within the green part of the demonstration image should also be removed.",1.0,Correct - Intended
AboveBelow8.json,2,Use the same grid size as in the input. There will be one object in the input. Only colour in the light blue line but any light blue line that is in the same row as green mark as black and keep it's color the same,1.0,Correct - Intended
AboveBelow8.json,3,"Resize the grid to a height of 13 and width of 10. You are going to press 'copy from input'. You will click everything that is not the bright teal color, making sure you have 'edit' selected. This will turn every box besides the teal ones black. Then you will also click on the top 4 (highest) teal boxes to turn them black as well.",-1.0,Nonresponsive
AboveBelow8.json,3,"Copy from input. Remove all blocks included in the blue level. For all other levels, remove all blocks except light blue blocks.",0.0,Incorrect
AboveBelow8.json,3,There is a light blue line which winds through layers of different colours. Remove the layers of different colours while leaving the line in place. BUT if the layer of colour is green then delete the part of the light blue line which passes through it as well.,1.0,Correct - Intended
AboveBelow9.json,1,Copy over the image blacking out anything below the line.,1.0,Correct - Intended
AboveBelow9.json,1,"Use a grid of the same size, and copy over all of the yellow tiles and all the colored tiles above the yellow line in the same spots while leaving everything below it empty.",1.0,Correct - Unintended
AboveBelow9.json,1,"Copy from input; Reset the grid; Copy the line shown in the test input grid; Copy the object that is above the line, if it below the line do not copy it.",1.0,Correct - Intended
AboveBelow9.json,1,"there is a background shape and then a yellow line running fully horizontal, any of the shape below this line should be removed, the grid and colours are the same",1.0,Correct - Unintended
AboveBelow9.json,1,There should be a squiggly line and a straight line on the input. The straight line is the horizontal one. Resize the grid to be the same size as the input. And copy the input into that grid. Then replace the squiggly line that is below the horizontal line with black,1.0,Correct - Intended
AboveBelow9.json,1,Copy the input image. Identify a continuous horizontal row of blocks (any other colour than black). Repaint all squares underneath this line black,1.0,Correct - Intended
AboveBelow9.json,1,"Keep the grid size, objects, colours, shapes the same. Cut off the line that passes through the horizontal line at the point it would pass it. Everything below the horizontal line should be black.",1.0,Correct - Intended
AboveBelow9.json,2,Fill the grids with color that crossing across the whole grid. Then only select the above grids only.,1.0,Correct - Intended
AboveBelow9.json,2,Copy the input grid and then remove any colored pixels below the horizontal line of color.,1.0,Correct - Intended
AboveBelow9.json,2,,-1.0,Nonresponsive
AboveBelow9.json,2,The answer grid matches the size of the input grid. There is a colored bar in the input grid that will remain exactly the same in the answer with the same position and color. The area above the bar remains the same as the input. The area below the bar will become the same color as the background no matter what is in the input.,1.0,Correct - Intended
AboveBelow9.json,2,"Delete everything below the solid line. You want a straight yellow line in the third row across. Above that, put a green square in the fifth column and another green square above it.",0.0,Incorrect
